ID,Category,Pos_b,Pos_e,Privacy
1675,movie,0,6,四月三周两天》
1675,movie,8,15,《我在伊朗长大》
1675,movie,18,23,《玫瑰人生》
1675,movie,34,39,《料理鼠王》
1675,address,62,67,松江泗泾基地
1675,company,76,82,建行上海市分行
1675,position,53,54,记者
1675,game,120,125,《魔兽世界》
1675,address,93,102,加州阿纳海姆会议中心
1675,organization,105,112,blizzcon
1675,company,84,91,blizzard
1675,government,147,149,人居委
1675,organization,185,187,赫尔城
1675,organization,197,198,维冈
1675,name,175,178,巴特莱特
1675,name,180,182,沃克尔
1675,name,201,202,弗兰
1675,position,189,190,主席
1675,government,205,212,广州市住房保障办
1675,name,216,218,黄信敬
1675,position,213,215,副主任
1675,government,264,269,石家庄市政府
1675,name,274,276,董玉辉
1675,position,270,273,副秘书长
