ID,Category,Pos_b,Pos_e,Privacy
314,address,17,18,香港
314,address,36,40,缅甸迈扎央
314,address,42,44,木瓜坝
314,name,20,22,谭志伟
314,name,24,26,谭志满
314,address,50,51,北京
314,organization,67,75,中国华夏易经研究会
314,organization,80,88,中国姓名文化研究会
314,position,62,65,执行董事
314,position,76,78,副会长
314,position,89,91,副会长
314,movie,93,95,梁祝》
314,name,129,130,徐克
314,position,127,128,导演
314,company,150,153,民生银行
314,company,196,199,兴业银行
314,movie,237,243,《再见汪先森》
314,movie,268,278,《蝙蝠侠6：暗夜骑士》
314,movie,280,292,thedarkknight
314,game,326,329,DOTA
314,company,347,349,苏富比
