ID,Category,Pos_b,Pos_e,Privacy
49,organization,5,8,BBFC
49,name,17,19,尹中立
49,position,77,79,艺术家
49,organization,109,110,意甲
49,company,95,98,bwin
49,address,160,161,上海
49,government,137,141,上海银监局
49,name,144,146,阎庆民
49,position,142,143,局长
49,position,151,152,记者
49,movie,178,183,冒牌天神2》
49,name,263,265,安舒茨
49,name,266,272,（philip
49,position,308,310,油画家
49,position,312,316,蛋彩画画家
49,address,327,328,重庆
49,government,345,348,市工商联
49,name,323,325,吴江林
49,company,337,340,中讯集团
49,position,349,351,副主席
49,scene,372,374,巴厘岛
49,address,416,419,央视大楼
49,government,437,439,共和党
49,government,447,448,国会
49,government,441,443,民主党
49,movie,466,482,《性感野兽》（sexybeast）
49,name,483,505,乔纳森-格雷泽（jonathanglazer）
49,movie,540,543,变形金刚
49,game,570,583,《EndWar》(终结战争)
49,name,561,565,汤姆克兰西
49,company,554,557,育碧上海
49,government,588,589,部队
49,government,595,596,海军
49,government,614,624,波罗的海舰队海军陆战营
49,organization,603,610,乌沙科夫海军学院
49,company,628,633,工行深圳分行
49,address,677,678,北京
49,name,687,688,宋焱
49,company,697,700,中国银联
49,position,685,686,记者
49,address,737,738,柏林
49,scene,740,744,犹太博物馆
49,government,766,767,央行
