ID,Category,Pos_b,Pos_e,Privacy
998,government,34,39,美国最高法院
998,name,4,5,布朗
998,name,30,31,布朗
998,position,0,3,州检察长
998,position,27,29,检察长
998,position,75,76,记者
998,scene,80,89,广东省工艺美术珍品馆
998,book,124,131,《电脑游戏攻略》
998,company,134,137,宝钢集团
998,organization,184,187,费内巴切
998,organization,190,192,波尔图
998,organization,211,213,拉科鲁
998,company,193,196,bwin
998,company,221,224,威廉希尔
998,company,226,227,立博
998,book,251,255,一睡定终身
998,organization,281,286,中央财经大学
998,organization,287,295,中国银行业研究中心
998,name,298,300,郭田勇
998,name,314,316,郭田勇
998,position,296,297,主任
998,position,301,302,教授
998,position,306,307,记者
998,organization,331,333,马洛卡
998,organization,369,371,维尔瓦
998,scene,373,396,churchoftheholysepulcher
998,scene,398,399,哭墙
998,scene,400,410,wailingwall
998,scene,412,414,圣殿山
998,organization,423,425,奈梅亨
998,organization,427,433,莫斯科斯巴达克
