ID,Category,Pos_b,Pos_e,Privacy
953,game,0,4,DOTA2
953,address,16,23,尼玛顿珠达木夏乡
953,government,61,74,石家庄市审计局驻建设口特派办
953,name,77,79,张西波
953,position,75,76,主任
953,position,83,84,记者
953,game,88,95,《幻想三国志4》
953,address,109,115,安菲尔德路球场
953,organization,129,131,纳斯里
953,organization,133,134,西塞
953,movie,143,183,《在恶魔知道你死前》（beforethedevilknowsyou‘redead，
953,game,207,211,星际争霸2
953,game,221,224,dota
953,government,252,253,法院
953,government,277,283,美国联邦调查局
953,government,285,287,FBI
953,organization,290,292,萨格勒
953,company,312,315,威廉希尔
953,organization,340,348,宁夏学经济管理学院
953,organization,353,361,mba教育管理中心
953,position,349,351,副院长
953,position,362,364,副主任
953,position,370,383,宁夏回族自治区第九后政协委员
953,movie,389,394,《爱情公寓》
953,movie,404,407,爱情公寓
953,movie,419,422,爱情公寓
953,game,429,432,国际象棋
953,game,434,444,WindowsLive
