ID,Category,Pos_b,Pos_e,Privacy
843,address,23,25,跑马场
843,address,27,29,滑雪场
843,organization,16,21,高尔夫俱乐部
843,scene,0,5,国家森林公园
843,scene,7,14,奥林匹克水上公园
843,scene,31,33,牛栏山
843,name,79,80,嘉庆
843,company,68,71,北京翰海
843,game,94,100,《但丁的地狱》
843,book,119,122,《神曲》
843,game,143,148,《大明龙权》
843,company,152,155,佳游网络
843,position,149,151,开发商
843,government,165,173,中国城市发展研究院
843,name,179,181,章惠生
843,name,192,193,张剑
843,name,207,208,叶晴
843,company,185,188,汇石投资
843,company,195,202,新浪乐居北京地区
843,position,174,178,常务副院长
843,position,189,191,合伙人
843,position,203,206,客户总监
843,organization,213,216,朴茨茅斯
843,organization,219,222,ac米兰
843,organization,228,230,联盟杯
843,organization,255,258,塞维利亚
843,organization,260,261,曼城
843,organization,263,266,乌迪内斯
843,name,272,273,程兵
843,company,268,271,星展银行
843,government,288,291,公安机关
843,organization,326,328,西布朗
843,organization,340,341,维冈
843,organization,346,347,英超
843,organization,379,380,波鸿
843,organization,382,383,赫塔
843,organization,402,404,沃尔夫
843,organization,408,410,斯图加
843,scene,430,432,长滩岛
