ID,Category,Pos_b,Pos_e,Privacy
1859,address,9,13,通州马驹桥
1859,address,19,24,东亚·瑞晶苑
1859,book,0,1,晨报
1859,name,6,7,赵阳
1859,position,4,5,记者
1859,name,65,66,王波
1859,government,76,79,美国政府
1859,company,83,86,花旗集团
1859,game,87,95,《生存之旅L4D》
1859,address,128,131,北海宾馆
1859,address,133,137,狮林大酒店
1859,scene,111,113,狮子峰
1859,scene,115,117,清凉台
1859,name,171,173,徐志摩
1859,scene,160,161,香山
1859,organization,212,214,西布朗
1859,name,198,199,詹俊
1859,government,225,232,上海市杨浦区法院
1859,company,241,244,携程公司
1859,game,254,256,魔兽3
1859,position,257,258,选手
