ID,Category,Pos_b,Pos_e,Privacy
2137,game,0,4,《红楼梦》
2137,game,17,26,ArxelTribe
2137,movie,33,39,《沉默的羔羊》
2137,organization,56,57,英超
2137,organization,74,75,英超
2137,company,65,68,bwin
2137,company,48,50,ssp
2137,government,127,130,美国军队
2137,government,133,136,德意联军
2137,address,179,181,崇礼县
2137,government,160,163,崇礼政府
2137,name,138,140,于有斌
2137,position,148,149,教授
2137,position,154,155,老师
2137,position,196,198,大学生
2137,organization,207,208,澳彩
2137,organization,235,241,圣彼得堡泽尼特
2137,organization,254,255,足彩
2137,organization,259,260,米兰
2137,organization,272,273,罗马
2137,name,252,253,张路
2137,movie,305,310,《我的长征》
2137,government,295,296,红军
2137,name,274,275,吴军
2137,game,321,324,DOTA
2137,government,339,351,北京市社会科学院经济研究所
2137,name,354,355,赵弘
2137,position,352,353,所长
2137,game,375,382,《暗黑破坏神3》
2137,game,402,405,dota
2137,game,420,423,imba
2137,address,433,434,上海
2137,name,430,432,高改芳
2137,position,428,429,记者
2137,organization,458,459,意甲
2137,game,487,491,跑跑卡丁车
2137,organization,502,506,曜越太阳神
2137,name,510,514,Orion
2137,name,516,518,吕俊贤
2137,movie,520,524,《蝙蝠侠》
2137,name,531,533,谢有福
2137,company,536,541,《华夏时报》
2137,company,556,558,rbs
2137,position,542,543,记者
2137,game,569,572,《孢子》
2137,game,621,622,CS
2137,position,608,609,记者
2137,book,647,650,大众软件
2137,game,671,678,猎魔人2国王刺客
2137,name,664,669,《大众软件》
2137,address,699,703,南加州海岸
2137,address,706,708,上东区
2137,position,709,710,贵族
2137,address,731,737,麦迪逊广场花园
2137,organization,722,723,奇才
2137,organization,741,743,尼克斯
