ID,Category,Pos_b,Pos_e,Privacy
539,government,4,6,发改委
539,government,23,25,发改委
539,address,39,42,蓝桥名苑
539,address,48,51,九堡地区
539,game,118,123,《星际争霸》
539,name,83,94,Min-LiangTan
539,name,98,102,Linda
539,company,106,110,Razer
539,address,132,134,乌迪内
539,scene,124,127,西西里岛
539,company,170,174,农村信用社
539,movie,238,245,《我的圣诞老公》
539,movie,247,259,thischristmas
539,name,220,224,nliye
539,game,285,290,《生化奇兵》
539,company,317,318,花旗
539,movie,366,372,《查理的战争》
539,name,358,364,西摩尔·霍夫曼
539,name,379,384,汤姆·汉克斯
539,company,393,400,星展银行香港分行
539,company,417,420,星展银行
