ID,Category,Pos_b,Pos_e,Privacy
1634,government,20,23,国家财政
1634,address,62,70,亦庄核心生活区西侧
1634,position,91,92,专家
1634,position,111,113,投资者
1634,address,149,150,晋江
1634,government,126,134,福建省晋江市公安局
1634,government,161,162,警方
1634,book,202,206,乾隆御制诗
1634,address,221,224,海渔广场
1634,government,293,294,央视
1634,name,300,301,李咏
1634,position,297,299,主持人
1634,game,313,317,星际争霸2
1634,game,325,327,星际2
1634,name,333,334,大师
1634,address,353,362,桃林寺镇赞桥村彭家里
1634,address,381,386,鹤龙湖南洲村
1634,organization,371,375,湘汨平剧团
1634,name,347,349,张方来
