ID,Category,Pos_b,Pos_e,Privacy
1555,name,29,31,杰斯科
1555,position,0,1,记者
1555,scene,9,13,盖蒂博物馆
1555,game,58,61,DotA
1555,game,84,87,《半神》
1555,company,72,79,Stardock
1555,address,125,126,苏联
1555,government,94,95,俄军
1555,scene,133,150,玛格丽特河margaretriver
1555,organization,213,214,阉党
1555,name,180,182,火来胜
1555,name,189,191,赵南星
1555,name,209,211,魏忠贤
1555,book,257,261,《乌托邦》
1555,game,274,277,星际争霸
1555,name,294,295,张跃
1555,company,286,289,新浪房产
1555,company,297,298,金地
1555,position,292,293,编辑
1555,scene,329,331,太平湖
1555,address,377,378,北京
1555,scene,388,389,故宫
1555,scene,391,393,颐和园
