ID,Category,Pos_b,Pos_e,Privacy
792,name,9,11,马德伦
792,company,0,5,中国人民银行
792,position,6,8,副行长
792,game,57,59,星际2
792,organization,41,45,oGs战队
792,position,48,49,明星
792,government,89,90,央行
792,name,100,101,苏宁
792,company,82,85,商业银行
792,game,121,124,dota
792,name,139,145,Merlini
792,position,151,153,主考官
792,position,200,202,建筑师
792,address,209,213,伯纳乌球场
792,organization,226,229,尤文图斯
792,organization,244,246,赫塔菲
792,organization,267,268,巴萨
792,organization,270,271,皇马
792,organization,273,275,潜水艇
792,government,302,309,昆明中级人民法院
792,name,320,322,谭志伟
792,address,343,353,广州市花都区107国道
792,company,393,396,电信公司
792,name,431,432,威廉
792,address,480,481,北京
792,position,466,467,老师
792,position,494,495,老师
792,name,519,520,张路
792,position,521,522,老师
