ID,Category,Pos_b,Pos_e,Privacy
704,address,0,1,伦敦
704,organization,6,8,富勒姆
704,organization,26,28,西汉姆
704,company,84,89,深圳中安信业
704,position,92,93,经理
704,position,96,97,记者
704,organization,135,137,切尔西
704,company,117,128,paddypower公司
704,game,148,153,《红色警戒》
704,game,172,178,《红色警戒3》
704,name,200,202,张继洲
704,company,189,198,中招商银行信用卡中心
704,company,215,216,招行
704,position,205,206,记者
704,game,236,240,魔兽世界》
704,game,247,250,星际争霸
704,address,245,246,韩国
704,game,267,272,《暗夜骑士》
704,company,283,295,boxofficemojo
704,company,305,308,人保财险
704,government,339,345,美国国土安全局
704,position,374,375,学生
704,company,385,386,工行
704,book,431,438,《电脑游戏攻略》
704,book,449,450,晨报
704,name,455,457,杨舒萌
704,position,453,454,记者
704,scene,495,496,亚庇
704,scene,500,502,仙本那
