ID,Category,Pos_b,Pos_e,Privacy
1141,game,0,5,《特种部队》
1141,position,6,7,选手
1141,name,62,63,黄刚
1141,scene,57,60,怪兽公园
1141,scene,41,46,魔语怪兽公园
1141,organization,65,68,博洛尼亚
1141,organization,71,74,那不勒斯
1141,government,75,79,民航昌都站
1141,organization,88,96,民航西藏区局扶贫办
1141,name,84,86,赵永忠
1141,name,99,101,王洪泉
1141,position,80,83,党委书记
1141,position,97,98,主任
1141,address,116,117,智利
1141,company,111,114,必和必拓
1141,company,145,148,必和必拓
1141,organization,164,167,福利彩票
1141,organization,169,172,体育彩票
1141,name,155,156,于海
1141,game,199,204,巫妖王之怒》
1141,game,224,233,《棒球巨星2010》
1141,address,258,259,深圳
1141,position,291,292,记者
1141,game,313,316,DOTA
1141,game,328,335,《星际争霸II》
1141,company,311,312,暴雪
1141,government,346,352,美国导弹防御局
1141,company,336,338,环球网
1141,address,367,370,九寨县城
1141,address,403,404,汶川
1141,scene,371,373,九寨沟
1141,scene,374,376,岷江源
1141,scene,377,379,川主寺
1141,scene,380,385,黄龙松潘古城
1141,scene,386,388,牟尼沟
1141,scene,389,392,叠溪海子
1141,scene,393,395,松坪沟
1141,scene,396,402,茂县中国古羌城
1141,book,405,408,后汉纪》
1141,book,419,423,《续汉书》
1141,name,415,417,司马彪
1141,name,428,429,张衡
