ID,Category,Pos_b,Pos_e,Privacy
935,government,14,15,央行
935,organization,31,36,沙尔克04队
935,organization,62,67,沙尔克04队
935,organization,39,43,柏林赫塔队
935,organization,47,48,德甲
935,movie,108,113,《白夜追凶》
935,movie,115,120,《命运速递》
935,name,83,85,吕晓霖
935,position,103,104,演员
935,scene,158,163,张掖丹霞地貌
935,book,165,172,紫罗兰和荆棘鸟》
935,book,173,179,《最后的守卫》
935,book,180,189,《老师变成魅魔以后》
935,book,196,205,《那个被我活埋的人》
935,book,206,212,《蝴蝶的叫喊》
935,address,219,222,北京南区
935,address,228,230,金融街
935,game,272,277,《潜龙谍影》
935,movie,321,331,《黑暗物质：黄金罗盘》
935,organization,332,333,曼联
935,organization,360,361,英超
