ID,Category,Pos_b,Pos_e,Privacy
2065,game,3,12,《终结者4：救世主》
2065,game,38,44,《美国陆军3》
2065,company,56,59,nike
2065,company,68,69,奥迪
2065,company,78,87,telefonica
2065,game,99,104,“模拟城市”
2065,game,127,132,《模拟城市》
2065,company,110,111,艺电
2065,company,112,113,EA
2065,game,139,142,DOTA
2065,name,169,170,陈强
2065,company,151,155,新概念汽车
2065,position,161,168,大客户部副总经理
2065,government,202,205,美国政府
2065,company,182,185,花旗集团
2065,organization,256,257,曼联
2065,address,285,295,白云峰山顶金奖景观餐厅
2065,scene,268,271,政府花园
2065,movie,301,304,蜘蛛侠》
2065,movie,329,334,《变形金刚》
