ID,Category,Pos_b,Pos_e,Privacy
2364,address,5,19,台北县中和环球购物中心1F广场
2364,government,23,30,住房公积金监管司
2364,address,66,68,越秀山
2364,address,70,72,小北门
2364,government,78,82,滇军第二军
2364,government,108,109,滇军
2364,name,83,85,范石生
2364,name,91,93,范石生
2364,position,110,112,一旅长
2364,movie,114,121,《X战警金刚狼》
2364,government,137,139,国务院
2364,government,167,169,财政部
2364,book,144,159,《关于进一步规范彩票管理的通知》
2364,company,174,179,美国国际集团
2364,company,180,184,（aig）
2364,company,204,207,工商银行
2364,company,210,213,中融信托
2364,company,215,218,招商银行
2364,company,221,224,西藏信托
2364,company,226,229,浦发银行
2364,movie,231,235,致命守护者
2364,movie,236,239,为我而生
2364,movie,240,243,斗破苍穹
2364,position,297,299,艺术家
2364,scene,283,285,博物馆
2364,company,314,317,阿里巴巴
