ID,Category,Pos_b,Pos_e,Privacy
549,movie,8,13,《幽灵行动》
549,company,0,1,育碧
549,organization,17,19,沙尔克
549,organization,31,33,沃尔夫
549,organization,56,58,米德尔
549,address,98,99,法国
549,address,107,108,悉尼
549,scene,101,105,埃菲尔铁塔
549,scene,110,112,歌剧院
549,address,128,130,宝莱坞
549,organization,156,158,新华社
549,organization,167,173,中国银行业协会
549,position,160,161,记者
549,movie,195,198,蜘蛛侠》
549,movie,230,237,《咒怨美国版ⅰ》
549,name,204,208,山姆·雷米
549,company,214,217,鬼屋影业
549,position,202,203,导演
549,organization,254,256,利物浦
549,organization,267,269,利物浦
549,name,238,240,金石开
549,organization,289,290,门兴
549,organization,293,296,勒沃库森
549,movie,297,300,碧血长空
549,game,308,311,dota
549,game,332,335,imba
549,organization,347,348,曼联
549,name,352,353,因斯
549,name,370,371,邓恩
549,name,373,374,里德
549,position,412,415,银行客服
549,address,464,474,吴家堡龙腾小区北门东侧
549,position,438,439,记者
549,movie,476,483,savages）
549,movie,485,512,《潜水钟与蝴蝶》（thedivingbellandthe
549,address,530,536,伊朗中部伊斯法
549,government,513,517,伊朗政府军
549,organization,558,565,中国外汇交易中心
