ID,Category,Pos_b,Pos_e,Privacy
490,address,0,7,中国铁建•青秀城
490,address,11,21,南三环畔玉泉营桥西南角
490,organization,37,39,纽卡斯
490,organization,69,71,纽卡斯
490,organization,43,45,博尔顿
490,company,60,63,博彩公司
490,book,89,94,《大众软件》
490,name,105,106,马力
490,name,110,112,于士瑞
490,company,114,117,住总集团
490,position,103,104,记者
490,position,107,109,通讯员
490,company,150,151,花旗
490,company,153,154,汇丰
490,company,184,187,花旗中国
490,organization,191,197,圣彼得堡泽尼特
490,organization,200,203,尤文图斯
490,name,216,218,李文杰
490,position,212,214,副秘书
490,game,253,256,魔兽争霸
