ID,Category,Pos_b,Pos_e,Privacy
228,address,15,18,海天中心
228,address,31,36,光耀东方广场
228,game,47,50,war3
228,game,68,72,《圣域2》
228,company,76,82,Ascaron
228,game,113,118,《魔兽争霸》
228,organization,133,137,省收藏协会
228,name,148,150,卢伯雄
228,name,156,158,林湘元
228,position,124,125,记者
228,position,138,140,副会长
228,position,142,147,邮币卡收藏家
228,address,178,182,成都欢乐谷
228,address,193,194,蓉城
228,game,200,203,英雄联盟
228,name,238,240,大司马
228,company,223,228,大司马工作室
228,movie,246,250,哈利波特》
228,name,253,258,迈克.内维尔
228,name,260,269,MikeNewell
228,position,251,252,导演
