ID,Category,Pos_b,Pos_e,Privacy
1000,address,32,35,华贸中心
1000,organization,12,13,央视
1000,scene,80,83,海渔广场
1000,address,129,134,k2·海棠湾
1000,name,104,106,姚建刚
1000,name,120,122,孙祥树
1000,name,124,126,白族华
1000,company,95,99,k2•地产
1000,company,108,119,维拓时代建筑设计有限公司
1000,position,100,103,设计总监
1000,game,163,168,《明日之后》
1000,company,186,194,江苏长江商业信用社
1000,address,227,234,马里布的盖蒂别墅
1000,address,240,243,盖蒂中心
1000,address,283,285,黑龙江
1000,company,263,271,中储粮黑龙江分公司
1000,company,279,281,中储粮
1000,government,310,312,房管局
1000,government,339,341,民政局
1000,government,329,333,街道办事处
1000,position,364,366,分析师
1000,company,395,397,中储粮
1000,game,422,428,《星际争霸2》
1000,game,486,487,魔兽
1000,organization,462,464,CCM
1000,organization,470,472,ECL
1000,organization,492,493,利兹
1000,organization,495,496,热刺
