ID,Category,Pos_b,Pos_e,Privacy
293,organization,15,20,盖蒂保护协会
293,organization,21,38,（gettyconservation
293,organization,51,52,皇马
293,name,83,85,陆慧明
293,government,100,106,人居环境委员会
293,game,139,150,《手足兄弟连：兵临绝境》
293,company,131,133,网元网
293,company,162,168,Gearbox
293,movie,184,191,《纳尼亚传奇2》
293,book,199,203,《指环王》
293,company,218,221,渣打银行
293,address,241,242,北京
293,address,243,244,上海
293,name,235,237,季小舟
293,name,238,240,胡金华
293,position,233,234,记者
293,government,254,256,俄陆军
293,government,282,283,俄军
