ID,Category,Pos_b,Pos_e,Privacy
1073,game,12,13,CS
1073,organization,28,32,VIC女队
1073,name,2,5,LISA
1073,position,0,1,队长
1073,position,34,35,队长
1073,position,37,38,指挥
1073,name,45,47,斯基贝
1073,name,49,61,michaelskibbe
1073,name,68,72,加拉塔萨雷
1073,position,43,44,主帅
1073,movie,88,96,《牛仔和印第安人》
1073,organization,133,139,银行业金融机构
1073,game,172,178,“跑跑卡丁车”
1073,address,227,229,华尔街
1073,company,199,208,cocochanel
1073,movie,248,252,《蜘蛛侠》
1073,game,279,282,War3
1073,game,302,309,《Diablo》
1073,government,346,352,澳大利亚税务局
1073,government,326,344,australiantaxoffice
1073,government,396,399,皇家邮政
1073,government,441,443,法领馆
1073,position,403,404,学生
1073,organization,462,464,拉齐奥
1073,position,488,489,主帅
1073,position,500,501,客服
1073,game,546,551,战争黎明2》
1073,game,553,559,《FEAR2》
1073,game,561,570,《足球经理2009》
